airflow-webserver-1  | [[34m2025-12-23T10:33:26.901+0000[0m] {[34moverride.py:[0m1880} INFO[0m - Added Permission can read on Cluster Activity to role Viewer[0m
airflow-webserver-1  | 127.0.0.1 - - [23/Dec/2025:10:38:25 +0000] "GET /health HTTP/1.1" 200 283 "-" "curl/7.88.1"
airflow-webserver-1  | 127.0.0.1 - - [23/Dec/2025:10:38:40 +0000] "GET /health HTTP/1.1" 200 283 "-" "curl/7.88.1"
airflow-webserver-1  | 127.0.0.1 - - [23/Dec/2025:10:38:55 +0000] "GET /health HTTP/1.1" 200 283 "-" "curl/7.88.1"
airflow-webserver-1  | 127.0.0.1 - - [23/Dec/2025:10:39:10 +0000] "GET /health HTTP/1.1" 200 283 "-" "curl/7.88.1"
airflow-webserver-1  | 127.0.0.1 - - [23/Dec/2025:10:39:25 +0000] "GET /health HTTP/1.1" 200 283 "-" "curl/7.88.1"
airflow-webserver-1  | 127.0.0.1 - - [23/Dec/2025:10:39:40 +0000] "GET /health HTTP/1.1" 200 283 "-" "curl/7.88.1"
airflow-webserver-1  | 127.0.0.1 - - [23/Dec/2025:10:39:56 +0000] "GET /health HTTP/1.1" 200 283 "-" "curl/7.88.1"
airflow-webserver-1  | 127.0.0.1 - - [23/Dec/2025:10:40:11 +0000] "GET /health HTTP/1.1" 200 283 "-" "curl/7.88.1"
airflow-webserver-1  | 127.0.0.1 - - [23/Dec/2025:10:40:26 +0000] "GET /health HTTP/1.1" 200 283 "-" "curl/7.88.1"
airflow-webserver-1  | 127.0.0.1 - - [23/Dec/2025:10:40:41 +0000] "GET /health HTTP/1.1" 200 283 "-" "curl/7.88.1"
airflow-webserver-1  | 127.0.0.1 - - [23/Dec/2025:10:40:56 +0000] "GET /health HTTP/1.1" 200 283 "-" "curl/7.88.1"
airflow-webserver-1  | 127.0.0.1 - - [23/Dec/2025:10:41:11 +0000] "GET /health HTTP/1.1" 200 283 "-" "curl/7.88.1"
airflow-webserver-1  | 127.0.0.1 - - [23/Dec/2025:10:41:26 +0000] "GET /health HTTP/1.1" 200 283 "-" "curl/7.88.1"
airflow-webserver-1  | 127.0.0.1 - - [23/Dec/2025:10:41:41 +0000] "GET /health HTTP/1.1" 200 283 "-" "curl/7.88.1"
airflow-webserver-1  | 127.0.0.1 - - [23/Dec/2025:10:41:56 +0000] "GET /health HTTP/1.1" 200 283 "-" "curl/7.88.1"
airflow-webserver-1  | 127.0.0.1 - - [23/Dec/2025:10:42:11 +0000] "GET /health HTTP/1.1" 200 283 "-" "curl/7.88.1"
airflow-webserver-1  | 127.0.0.1 - - [23/Dec/2025:10:42:26 +0000] "GET /health HTTP/1.1" 200 283 "-" "curl/7.88.1"
airflow-webserver-1  | 127.0.0.1 - - [23/Dec/2025:10:42:41 +0000] "GET /health HTTP/1.1" 200 283 "-" "curl/7.88.1"
airflow-webserver-1  | 127.0.0.1 - - [23/Dec/2025:10:42:57 +0000] "GET /health HTTP/1.1" 200 283 "-" "curl/7.88.1"
airflow-webserver-1  | 127.0.0.1 - - [23/Dec/2025:10:43:12 +0000] "GET /health HTTP/1.1" 200 283 "-" "curl/7.88.1"
airflow-webserver-1  | 127.0.0.1 - - [23/Dec/2025:10:43:27 +0000] "GET /health HTTP/1.1" 200 283 "-" "curl/7.88.1"
[MARCA] DAG cargado: etl_pipeline
[MARCA] webserver /health: 200
[MARCA] Scheduler heartbeat detectado
